name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,style,course_type,complexity,season,type
Bacon Cheddar Beer Soup in Bread Bowls,21.0,"[red wine, white wine]",[spoon],hot,"[egg-free, peanut-free, tree-nut-free, soy-free, shellfish-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, no oil added]",[low-carb],"['carrots', 'celery', 'flour', 'pepper', 'salt']","[salty, fatty, sweet]",2667.08945687538,sibarita,starter,medium,"['spring', 'summer']",bread
Summer Corn With Lime And Manchego,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, fodmap-free, kosher]",[],"['butter', 'pepper', 'salt']","[fatty, salty]",1537.1529146875637,classic,starter,low,['winter'],vegetable
Very Tasty Butter Bean Leek and Bacon Soup,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['butter', 'celery', 'garlic', 'milk', 'onion', 'pepper', 'salt', 'water']","[salty, fatty]",1376.3524294624915,fusion,starter,high,"['spring', 'summer', 'autumn', 'winter']",soup
CHICKEN & SAUSAGE GUMBO,56.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, dairy-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['oil', 'pepper', 'salt', 'water']","[salty, umami, fatty]",6458.743662933477,modern,main_course,high,"['spring', 'summer', 'autumn', 'winter']",soup
Cookies and Cream Cupcakes,84.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'cream', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",13787.431439349642,classic,dessert,low,"['spring', 'summer', 'autumn', 'winter']",cream
Mountain Man Soup,21.0,"[red wine, herbal tea]",[spoon],hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher, immuno-supportive]",[high-fiber],"['celery', 'onion', 'parsley']","[salty, sour]",1442.0031432104167,regional,starter,low,"['spring', 'summer', 'autumn', 'winter']",soup
Arlette’s Triple Ginger Biscotti,42.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'flour', 'leavening', 'salt', 'sugar']","[sweet, fatty, salty]",3853.1765,sibarita,dessert,medium,"['spring', 'summer', 'autumn', 'winter']",snack
Grandma Bev's Rhubarb Dessert (Rhubarb Crisp),42.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'leavening']","[sweet, fatty]",2903.632,classic,dessert,low,['winter'],fruit
Grape Salad,56.0,"[red wine, herbal tea]",[fork],cold,"[vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[low-sodium],"['cream', 'sugar', 'vanilla']","[sweet, fatty]",3885.1275887,fusion,starter,low,['autumn'],salad
Chewy No-Bake Cookies & Cream Bars,14.0,"[red wine, white wine]",[],warm,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],['butter'],"[sweet, fatty, salty]",3505.6745968,sibarita,dessert,low,['winter'],cream
Carrot Loaf with Cream Cheese Frosting,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'carrots', 'cinnamon', 'cream', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",4173.976666666666,classic,starter,medium,"['spring', 'summer', 'autumn', 'winter']",cream
Breaded Pork Chop Panini Bliss,21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['egg', 'garlic', 'lemon', 'oil', 'parsley', 'pepper', 'salt']","[salty, fatty]",4004.155074501134,regional,main_course,medium,['autumn'],meat
General Tso's Chicken,14.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[],"['flour', 'garlic', 'oil', 'salt', 'sugar', 'water']","[salty, fatty, sweet]",3513.3772503193054,sibarita,main_course,medium,['winter'],poultry
Potato Leek and Feta Pie,17.5,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, mediterranean, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]","[balanced, high-fiber]","['cream', 'egg', 'milk', 'oil', 'parsley', 'pepper', 'salt']","[salty, sour]",2266.638919999959,classic,main_course,medium,['autumn'],vegetable
Gluten-free Sticky Date Cake,28.0,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, dairy-free, gluten-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]","[high-fiber, low-sodium]","['egg', 'honey', 'water']","[sweet, fatty]",3147.079166666763,sibarita,dessert,medium,['spring'],fruit
Orange Chocolate Mousse,7.0,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['egg', 'sugar']",[fatty],1007.3069555348708,modern,dessert,medium,['summer'],fruit
Gluten Free Strawberry Cake Roll,24.5,"[red wine, herbal tea]","[fork, knife]",hot,"[kidney-friendly, gluten-free, wheat-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-sodium],"['butter', 'egg', 'salt', 'sugar', 'vanilla', 'water']","[sweet, fatty]",4150.8261834,regional,dessert,medium,['autumn'],fruit
Bacon And Leek Quiche,21.0,"[red wine, white wine]",[spoon],hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['egg', 'milk', 'pepper', 'salt']","[salty, fatty]",2363.786457050984,fusion,starter,medium,['winter'],egg
Overnight Sauerkraut,35.0,"[sparkling water, white wine]","[fork, knife]",hot,"[vegan, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['garlic', 'oil', 'salt', 'sugar', 'water']","[salty, sour, fatty]",2819.807500000001,classical,main_course,low,['spring'],vegetable
Black-Eyed Peas with Ham Bone or Ham Hock,21.0,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free]",[],"['garlic', 'onion', 'pepper', 'salt']","[salty, umami]",1968.2861329997847,classic,main_course,low,['winter'],legume
Crostini with Mascarpone and Strawberry Rhubarb Compote,42.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]",[balanced],"['honey', 'sugar', 'vanilla']",[salty],1575.3380000022198,modern,dessert,medium,['summer'],tapas
Cinnamon Raisin Bread,35.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'cinnamon', 'egg', 'flour', 'milk', 'salt', 'sugar', 'water']","[sweet, salty]",3870.093,gourmet,starter,low,['winter'],bread
