name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,style,course_type,complexity,season,type
Schinkennudeln (Ham & Cheese Pasta),14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[high-fiber],"['cheese', 'garlic', 'oil', 'pepper', 'salt', 'water']","[salty, umami, fatty]",3067.67035550958,sibarita,main_course,low,"['spring', 'summer']",pasta
Ken's Kickin' Posole,42.0,"[red wine, herbal tea]","[fork, knife]",hot,"[gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['cilantro', 'cumin', 'garlic', 'onion', 'salt']","[salty, sour, umami]",5018.223612067175,fusion,main_course,medium,['winter'],soup
Jay's Spicy Slow Cooker Turkey Chili,28.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]",[high-fiber],"['pepper', 'salt']","[salty, sour, umami]",2572.119255032813,regional,main_course,high,"['spring', 'summer', 'autumn', 'winter']",soup
Caramel Pretzel Brownies,42.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],['vanilla'],"[sweet, salty]",4490.651337040623,modern,dessert,low,['autumn'],cream
Skinny Tangy Smoked Salmon Layered Salad,21.0,"[red wine, herbal tea]",[fork],cold,"[pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['garlic', 'honey', 'lemon', 'oil', 'pepper', 'salt']","[sour, salty]",1091.81168645,classic,starter,medium,"['spring', 'summer', 'autumn', 'winter']",salad
Carrot-Ginger Zinger Soup,21.0,"[sparkling water, white wine]",[spoon],hot,"[vegan, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['carrots', 'garlic', 'oil', 'pepper', 'salt']",[salty],766.4051634522469,classical,starter,medium,['winter'],soup
Sticky Asian BBQ Boneless Oven Baked Chicken Wings.,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, lupine-free, mollusk-free, alcohol-free]",[balanced],"['cinnamon', 'garlic', 'honey', 'pepper']","[salty, sweet]",2195.6635442133534,sibarita,main_course,high,"['spring', 'summer', 'autumn', 'winter']",poultry
Cheesecake Ice Cream,17.5,"[red wine, herbal tea]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[],"['cream', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",1968.5186475,regional,dessert,low,"['spring', 'summer', 'autumn', 'winter']",cream
Black Bean and Corn Salsa,14.0,"[sparkling water, white wine]",[fork],cold,"[vegan, vegetarian, pescatarian, mediterranean, dash, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]","[high-fiber, low-fat]","['cilantro', 'garlic', 'onion', 'salt']",[salty],836.7557799996417,fusion,starter,low,"['spring', 'summer', 'autumn', 'winter']",legume
Moroccan Chicken Tagine,21.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['cinnamon', 'cumin', 'flour', 'garlic', 'honey', 'oil', 'onion', 'pepper', 'salt']","[salty, umami]",2289.04861359952,classic,main_course,high,['spring'],poultry
"Day 4: Peppermint White Chocolate Popcorn - 4 Days, 4",28.0,"[red wine, herbal tea]",[spoon],hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-sodium],['salt'],[fatty],1972.6726297708524,sibarita,starter,low,"['spring', 'summer', 'autumn', 'winter']",snack
Cheese Dosa - How To Make Cheese Dosa - How To Prepare Cheese Dosa,35.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, mediterranean, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-fat],"['onion', 'salt']","[sour, salty]",2960.990048000001,fusion,main_course,high,"['spring', 'summer', 'autumn', 'winter']",snack
Buffalo Chicken Dip,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[keto-friendly, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],['cream'],"[salty, fatty]",2141.2186475080816,classic,main_course,medium,['winter'],tapas
Pork Stew in Green Salsa (Guisado de Puerco con Tomatillos),21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['cilantro', 'cream', 'cumin', 'flour', 'garlic', 'oil', 'onion', 'pepper', 'salt', 'water']","[salty, umami, fatty]",2674.3934883564166,regional,main_course,high,['winter'],meat
Red Bean 'N' Sausage Soup,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added]","[balanced, high-fiber]","['onion', 'pepper', 'salt', 'sugar']","[sweet, salty, fatty]",2516.3495010989777,classical,starter,high,['autumn'],soup
Ice Cream Pebbles Marshmallow Cereal Bars,31.5,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-sodium],['butter'],[sweet],1861.2208353749995,fusion,dessert,low,['summer'],cream
Whole Chicken And Cabbage In A Dutch Oven/Braiser,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, keto-friendly, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['butter', 'garlic', 'oil', 'pepper', 'salt']","[salty, umami, fatty]",3229.25515729,classic,main_course,low,['winter'],poultry
Mulligatawny Soup,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[mediterranean, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['garlic', 'lemon', 'oil']","[salty, umami, fatty]",3182.0335079510005,sibarita,starter,low,['winter'],soup
Southern Eggs and Biscuits,21.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['flour', 'milk', 'pepper', 'salt']","[salty, umami, fatty]",6570.574555766667,fusion,dessert,medium,['autumn'],egg
Jelly Chia Pudding,7.0,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]","[low-carb, low-sodium]",['vanilla'],[fatty],1066.4285,classic,dessert,low,['spring'],cream
Tortellini Alfredo Spinach Casserole,31.5,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['cheese', 'cream', 'egg', 'garlic', 'parsley', 'pepper', 'salt']","[salty, umami, fatty]",5285.390975542799,regional,main_course,medium,['winter'],pasta
Rhubarb Crumble Cake,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",2616.158,sibarita,dessert,low,['autumn'],cream
Flourless Hazelnut Carrot and Date Muffins,63.0,"[red wine, herbal tea]","[fork, knife]",hot,"[vegetarian, pescatarian, paleo, dairy-free, gluten-free, wheat-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['carrots', 'cinnamon', 'egg', 'leavening', 'oil']","[sweet, salty, fatty]",4313.045,fusion,dessert,medium,['winter'],snack
Autumn Apple Salad 4,31.5,"[red wine, herbal tea]",[fork],cold,"[kidney-friendly, gluten-free, wheat-free, egg-free, soy-free, fish-free, shellfish-free, red-meat-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added]",[low-sodium],"['celery', 'cream', 'sugar']","[sweet, fatty]",2667.88670825,classic,starter,low,['autumn'],salad
Nutella Thumbprint Cookies,35.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'sugar', 'vanilla']","[sweet, fatty]",2820.9096666666665,sibarita,dessert,low,"['autumn', 'spring']",snack
Oatmeal Scotchies,14.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['butter', 'cinnamon', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, salty, fatty]",5458.10998960625,fusion,dessert,low,['winter'],snack
Spicy Southwestern Slow Cooker Chili,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[paleo, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]","[high-fiber, low-carb]","['cumin', 'garlic', 'onion', 'pepper']","[salty, sour, umami]",2956.57068162155,modern,main_course,medium,['winter'],soup
"Hearty Chard, Pancetta, and Pecorino Quiche",21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-carb],"['egg', 'milk', 'pepper', 'salt']","[salty, fatty]",1738.4682387067478,classic,starter,high,['spring'],egg
Fudgy S'more Brownies for Kids,42.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-sodium],"['butter', 'egg', 'flour', 'salt', 'sugar', 'vanilla']","[sweet, fatty]",3142.764148720833,fusion,dessert,low,"['spring', 'summer', 'autumn', 'winter']",cream
Peanut Butter Crusted Sweet Potato Fries,17.5,"[sparkling water, white wine]","[fork, knife]",hot,"[vegan, vegetarian, pescatarian, mediterranean, dairy-free, gluten-free, wheat-free, egg-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, fodmap-free, kosher, immuno-supportive]",[],['oil'],[sweet],820.1294382000002,classical,starter,medium,['winter'],vegetable
Turtle Cake,28.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],['milk'],"[salty, fatty]",7768.700000013578,sibarita,dessert,high,['autumn'],cream
{Simple} Tuscan Oven Roasted Red Potatoes,21.0,"[sparkling water, white wine]",[spoon],hot,"[sugar-conscious, vegan, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['garlic', 'oil', 'pepper', 'salt']",[salty],939.324318,regional,starter,low,['winter'],vegetable
Taco Spiced Collard Chips,14.0,"[sparkling water, white wine]",[spoon],hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegan, vegetarian, pescatarian, mediterranean, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, fodmap-free, kosher, immuno-supportive]",[low-sodium],"['cumin', 'pepper', 'salt']",[neutral],34.4841512,sibarita,starter,low,['autumn'],vegetable
Make Your Own Roasted Peppers,14.0,"[sparkling water, white wine]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegan, vegetarian, pescatarian, paleo, mediterranean, dash, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher, immuno-supportive]","[balanced, low-sodium]","['garlic', 'oil', 'parsley']",[sour],101.3890224,sibarita,main_course,low,['winter'],vegetable
German Chocolate Birthday Cake 4,42.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'leavening', 'salt', 'sugar', 'vanilla', 'water']","[sweet, salty, fatty]",8631.80719323555,regional,dessert,medium,['winter'],cream
Turnip Gratin,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-carb],"['butter', 'garlic', 'milk']",[sour],586.0013333333334,classical,main_course,low,['winter'],vegetable
Pretty Pear Pocket Pies!,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]","[high-fiber, low-sodium]","['butter', 'cinnamon', 'flour', 'milk', 'water']","[sweet, fatty]",3852.495999998836,sibarita,dessert,low,['winter'],fruit
Double Chocolate Brownie Batter Ice Cream,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[],"['cinnamon', 'sugar', 'vanilla']",[fatty],1972.1710000000005,modern,dessert,low,['summer'],cream
Weeknight Lo Mein,14.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, peanut-free, tree-nut-free, fish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, lupine-free, alcohol-free, sulfite-free]","[balanced, high-fiber]","['garlic', 'oil']","[salty, fatty]",2075.4028601167665,regional,main_course,medium,['autumn'],pasta
Asian Coleslaw,35.0,"[sparkling water, white wine]",[fork],cold,"[vegan, vegetarian, pescatarian, dairy-free, egg-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['carrots', 'cilantro', 'garlic', 'oil', 'sugar']","[sour, fatty, sweet]",1719.4386666645987,fusion,starter,medium,['winter'],salad
Buttermilk French Toast With Homemade Cinnamon - Raisin Bread,28.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['cinnamon', 'egg', 'sugar', 'vanilla']",[sweet],862.9169999990929,classic,dessert,medium,['spring'],bread
Chocolate Mochi Mug Cake,42.0,"[red wine, herbal tea]",[],warm,"[low potassium, kidney-friendly, keto-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['leavening', 'milk', 'oil', 'sugar']",[neutral],210.6747169987623,sibarita,dessert,low,['autumn'],cream
Slow Cook Lamb Chops,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['carrots', 'garlic', 'onion', 'pepper', 'salt']","[salty, fatty]",2306.95701969948,classic,main_course,high,['winter'],meat
+ Baked Eggplant Parmesan,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[high-fiber],"['egg', 'garlic', 'pepper', 'salt']",[salty],1474.07715366926,regional,main_course,medium,['winter'],vegetable
Tomato Olive Quiche,28.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['egg', 'flour', 'oil', 'pepper', 'salt']","[salty, fatty]",3420.7698270583337,sibarita,starter,medium,['spring'],egg
Twice Baked Potatoes,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[balanced],"['butter', 'cheese', 'cream', 'milk', 'salt']","[salty, fatty]",1476.2507875,sibarita,starter,medium,['winter'],vegetable
Marry Me Chicken,14.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, mediterranean, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free]",[low-carb],"['cheese', 'cream', 'flour', 'garlic', 'oil', 'salt']","[salty, umami, fatty]",1641.9458749985895,modern,main_course,medium,['winter'],poultry
Greek Lamb Sliders,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['cream', 'garlic', 'lemon', 'parsley', 'pepper', 'salt']","[fatty, salty]",2393.392415843605,regional,main_course,high,"['spring', 'summer', 'autumn', 'winter']",meat
Cherry Doughnut Holes,147.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'leavening', 'salt', 'sugar']","[sweet, salty]",3294.6226175994284,fusion,dessert,low,['autumn'],snack
Oatmeal Chocolate Chip Cookies,77.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, fatty]",2858.5256666666664,classic,dessert,medium,['winter'],snack
Spinach And Artichoke Stuffed Artichoke Bottoms,21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free]",[low-carb],"['garlic', 'parsley']","[salty, umami, fatty]",2099.307068228125,fusion,main_course,high,"['spring', 'summer', 'autumn', 'winter']",vegetable
Chopped Caesar Salad Pizza,21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['garlic', 'lemon', 'oil', 'pepper', 'salt', 'sugar', 'water']","[salty, umami, fatty]",5363.48246787147,sibarita,starter,medium,['autumn'],salad
RASPBERRY YOGURT CAKE,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['butter', 'egg', 'flour', 'leavening', 'lemon', 'salt', 'sugar', 'vanilla']","[sweet, fatty]",3848.38918794178,classical,dessert,low,['spring'],cream
BBQ Burger Stuffed Bell Peppers - Freezable,21.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['carrots', 'honey', 'oil', 'onion', 'parsley']","[sweet, salty, sour]",2356.702996398648,sibarita,main_course,medium,['autumn'],meat
Pesto-Salmon Spaghettini,14.0,"[red wine, white wine]","[fork, knife]",hot,"[pescatarian, mediterranean, dash, dairy-free, egg-free, peanut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[balanced, high-fiber]","['garlic', 'lemon', 'oil', 'pepper', 'salt']","[fatty, salty]",3068.9229913,fusion,main_course,high,['summer'],pasta
ONE POT BRAZILIAN CHICKEN RICE,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[mediterranean, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[balanced],"['garlic', 'oil', 'parsley', 'pepper', 'salt']","[salty, fatty]",3645.47159000838,sibarita,main_course,medium,['spring'],rice
Upside-down Blood Orange Cake,42.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'cream', 'egg', 'flour', 'leavening', 'lemon', 'sugar', 'vanilla']","[sweet, sour, fatty]",4589.623000000112,regional,dessert,high,"['spring', 'summer', 'autumn', 'winter']",fruit
Garden Veggie Pizza,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, mediterranean, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['garlic', 'oil', 'salt']",[salty],1826.6590967094387,sibarita,main_course,medium,['autumn'],vegetable
Vegan Banana Pancakes,14.0,"[sparkling water, white wine]","[fork, knife]",hot,"[vegan, vegetarian, pescatarian, dairy-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]","[high-fiber, low-fat]","['leavening', 'salt', 'vanilla']",[salty],937.671,classic,dessert,low,"['spring', 'summer', 'autumn', 'winter']",fruit
CHOCOLATE-STUFFED EGGS,28.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, kidney-friendly, keto-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, kosher]","[low-carb, low-sodium]","['cinnamon', 'egg', 'oil', 'salt', 'vanilla', 'water']",[fatty],924.5127411084118,sibarita,dessert,high,"['spring', 'summer']",egg
